Name,Phone,Address,Location,Website,Menu,Enabled,Open,Take-out,Online/Mobile Ordering,Delivery,1st Party Delivery,3rd Party Delivery,Drive Thru,Re-Opening,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Hours May Vary,Details,Notes
20 Corners Brewing,(425) 305-6620,"14148 NE 190th St A, Woodinville, WA 98072","47.7678642,-122.1517007",https://www.20cornersbrewing.com/,"",Yes,Yes,Yes,"","","","","","","","","","","","","","","",""
The Riverbend Cafe,(425) 888-6600,"14303 436th Ave SE, North Bend, WA 98045","47.470993, -121.758896",riverbendcafenorthbend.com,http://places.singleplatform.com/the-riverbend-cafe/menu?ref=google,Yes,Yes,Yes,No,No,No,No,No,,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,11am-7pm,,,Trying to get on UberEats
Arby's,(425) 888-1933,"705 SW Mt Si Blvd, North Bend, WA 98045","47.486953, -121.793153",https://arbys.com,https://arbys.com/our-menu/featured,Yes,Yes,Yes,No,No,No,No,Yes,,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,,,"Trying to get on UberEats, DoorDash"
McDonald's,(425) 888-1487,"735 SW Mt Si Blvd, North Bend, WA 98045","47.488313, -121.794103",https://www.mcdonalds.com,https://www.mcdonalds.com/us/en-us/full-menu.html?cid=RF:YXT_LS:SI::MGBM,Yes,Yes,No,Yes,No,No,No,Yes,,5am-12am,5am-12am,5am-12am,5am-12am,5am-12am,5am-12am,5am-12am,,,
I Luv Teriyaki,(425) 888-5544,"458 SW Mt Si Blvd, North Bend, WA 98045","47.487867, -121.791705",,"https://www.google.com/maps/place/I+Luv+Teriyaki/@47.4878283,-121.7918774,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMZKHe_iH2ZRXrHhKIrhpCZC9-yniGKVbcjnWNS!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMZKHe_iH2ZRXrHhKIrhpCZC9-yniGKVbcjnWNS%3Dw203-h152-k-no!7i3984!8i2988!4m8!1m2!2m1!1srestaurants!3m4!1s0x0:0x283cf14da8fce576!8m2!3d47.487861!4d-121.7917058",Yes,Yes,Yes,No,No,No,No,No,,Closed,11am-8:30pm,11am-8:30pm,11am-8:30pm,11am-8:30pm,11am-8:30pm,11am-8:30pm,,,
UnPhogettable,(425) 292-9072,"458 SW Mt Si Blvd, North Bend, WA 98045","47.488124, -121.791625",https://www.facebook.com/Unphogettable-1049660678493965/,,Yes,No,No,No,No,No,No,No,4/6/2020,,,,,,,,,,
Apollo Mediterranean,(425) 292-3024,"456 SW Mt Si Blvd, North Bend, WA 98045","47.488365, -121.791652",https://apollogreekfood.com/,https://apollogreekfood.com/menu,Yes,Yes,Yes,No,Yes,Yes,No,No,,11am-9pm,11am-9pm,11am-9pm,11am-9pm,11am-9pm,11am-10pm,11am-9pm,,,
Little Si Restaurant and Lounge,(425) 888-5501,"456 SW Mt Si Blvd c1, North Bend, WA 98045","47.488555, -121.791623",http://www.littlesirestaurantandlounge.com/,http://www.littlesirestaurantandlounge.com/menus.html,Yes,Yes,Yes,No,No,No,No,No,,2pm-9pm,2pm-9pm,2pm-9pm,2pm-9pm,2pm-9pm,2pm-9pm,2pm-9pm,,,
Trapper's Sushi,(425) 292-9362,"320 SW Mt Si Blvd #106, North Bend, WA 98045","47.489139, -121.791551",https://www.trapperssushi.com/,https://www.trapperssushi.com/menu,Yes,No,Yes,Yes,No,No,No,No,,,,,,,,,,,
Taco Time,(425) 888-3966,"726 SW Mt Si Blvd, North Bend, WA 98045","47.488574, -121.793331",https://order.tacotimenw.com/menu/north-bend,,Yes,Yes,Yes,Yes,No,No,No,Yes,,10am-9am,10am-9am,10am-9am,10am-9am,10am-9am,10am-9am,10am-9am,,,Walk thru drive-thru
Burger King,(425) 831-2463,"736 SW Mt Si Blvd, North Bend, WA 98045","47.488938, -121.793205",https://burgerking.com/store-locator/store/restaurant_8695,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,6am-12am,6am-12am,6am-12am,6am-12am,6am-12am,6am-12am,6am-12am,,,Walk thru drive-thru
Los Cabos North Bend,(425) 888-5256,"580 SW Mt Si Blvd, North Bend, WA 98045","47.489880, -121.792923",http://www.loscabos-northbend.com/,http://www.loscabos-northbend.com/los_cabos_menu.html,Yes,Yes,Yes,No,No,No,No,No,,Noon-8pm,Noon-8pm,Noon-8pm,Noon-8pm,Noon-8pm,Noon-8pm,Noon-8pm,,Please let them know if you are interested in delivery,"Trying to get on UberEats, variable hours, ask for delivery!"
Mongolian Grill,,"461 S Fork Ave SW F, North Bend, WA 98045","47.491783, -121.797635",,,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,,
Subway,(425) 888-5555,"521 S Fork Ave SW Suite K1, North Bend, WA 98045","47.490939, -121.793456",https://order.subway.com/en-us/restaurant/19322/menu/,,Yes,No,No,,Yes,No,Postmates,No,,,,,,,,,,,
El Caporal Mexican Restaurant,(425) 888-2048,"424 Main Ave S, North Bend, WA 98045","47.491914, -121.787715",http://www.elcaporalnorthbend.com/,,Yes,Yes,Yes,No,No,No,No,No,,11am-9pm,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-9pm,Yes,,
Teriyaki Town,(425) 831-5239,"434 Main Ave S, North Bend, WA 98045","47.492291, -121.788115",,,Yes,Yes,Yes,No,No,No,No,No,,Closed,11am-8:30pm,11am-8:30pm,11am-8:30pm,11am-8:30pm,11am-8:30pm,11am-8:30pm,,,
The Swirl,(425) 292-0909,"426 Main Ave S, North Bend, WA 98045","47.492177, -121.787974",,,Yes,Yes,Yes,No,No,No,No,No,,3pm-7pm,Closed,Closed,3pm-7pm,Closed,3pm-7pm,Closed,,"Pre-made cups available ",
Huxdotter Coffee,,"101 W Park St, North Bend, WA 98045","47.493424, -121.787543",https://huxdottercoffee.com/,https://huxdottercoffee.com/menu,Yes,Yes,Yes,No,No,No,No,Yes,,6am-7pm,5am-7pm,5am-7pm,5am-7pm,5am-7pm,5am-7pm,6am-7pm,,,Walk thru drive-thru
Jersey Mike's Subs,(425) 363-3135,"249 Main Ave S #103, North Bend, WA 98045","47.493886, -121.787430",https://www.jerseymikes.com,https://www.jerseymikes.com/menu,Yes,Yes,Yes,Yes,Yes,Yes,"Grubhub ",No,,10am-8pm,Closed,Closed,Closed,Closed,Closed,Closed,,,
Frankie's Pizza,(425) 888-4477,"249 Main Ave S, North Bend, WA 98045","47.493896, -121.787093",https://frankies-pizza.com/,,Yes,Yes,Yes,Yes,No,No,No,No,,11am-9pm,11am-9pm,11am-9pm,11am-9pm,11am-9pm,11am-10pm,11am-10pm,,,
Rio Bravo,(425) 888-1655,"247 E North Bend Way, North Bend, WA 98045","47.493643, -121.783778",https://www.riobravomex.com/home,https://www.riobravomex.com/flavors,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,9am-5pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,9am-9pm,,,
Scott's Dairy Freeze,(425) 363-3169,"234 E North Bend Way, North Bend, WA 98045","47.494181, -121.783646",https://scottsdairyfreeze.smartonlineorder.com/,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-8pm,,,
North Bend Bar & Grill,(425) 888-1243,"145 E North Bend Way, North Bend, WA 98045","47.494262, -121.785003",https://northbendbarandgrill.com/,http://places.singleplatform.com/north-bend-bar-and-grill/menu?ref=google,Yes,No,No,No,No,No,No,No,,,,,,,,,,,
Chang Thai & Pho,(425) 292-9521,"131 E North Bend Way suite a, North Bend, WA 98045","47.494383, -121.785265",https://www.changthaipho.com/,https://www.changthaipho.com/menu.aspx,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,12pm-9pm,11am-9pm,11am-9pm,11am-9pm,11am-9pm,11am-9pm,11am-9pm,,,
Sure Shot Pub,(425) 292-3287,"101 E North Bend Way, North Bend, WA 98045","47.494663, -121.785807",,,Yes,No,No,No,No,No,No,No,,,,,,,,,,,
The Iron Duck Public House,(425) 292-9146,"101 W North Bend Way, North Bend, WA 98045","47.494865, -121.786145",https://theironduckpublichouse.com/,https://theironduckpublichouse.com/food/,Yes,Yes,Yes,No,No,No,No,No,,12pm-7pm,12pm-7pm,12pm-7pm,12pm-7pm,12pm-7pm,12pm-7pm,12pm-7pm,,,
Volition Brewing Co.,(425) 292-0329,"112 W North Bend Way, North Bend, WA 98045","47.495260, -121.786168",http://www.volitionbrewing.com/,,Yes,Yes,Yes,Yes,No,No,No,No,,12pm-7pm,12pm-7pm,12pm-7pm,12pm-7pm,12pm-7pm,12pm-7pm,12pm-7pm,,"Food trucks still operating, please check website for the schedule",
The North Bend Bakery,(425) 888-0632,"127 W North Bend Way, North Bend, WA 98045","47.495139, -121.786600",https://thenorthbendbakery.com/,,Yes,Yes,Yes,No,No,No,No,No,,7am-5pm,Closed,7am-5pm,7am-5pm,7am-5pm,7am-5pm,7am-5pm,,,
Twede's Cafe,(425) 831-5511,"137 W North Bend Way, North Bend, WA 98045","47.495174, -121.786841",http://www.twedescafe.com/,http://www.twedescafe.com/wp-content/uploads/2019/09/twedes-cafe-menu-Sept-2019.pdf,Yes,Yes,Yes,no,No,No,no,No,,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,,,
Pioneer Coffee North Bend,(425) 292-0957,"202 W North Bend Way, North Bend, WA 98045","47.495736, -121.787204",https://pioneercoffeeco.com/,,Yes,No,No,No,No,No,No,No,,,,,,,,,,,
Wildflower Bistro,(425) 292-0647,"228 W North Bend Way ste b, North Bend, WA 98045","47.495905, -121.787557",http://wildflowerwineshop.com/,http://wildflowerwineshop.com/menus/,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,11pm-7pm,Closed,11pm-7pm,11pm-7pm,11pm-7pm,11pm-7pm,11pm-7pm,,Closed between 2pm and 4pm,
Pour House Bar & Grill,(425) 888-1722,"330 W North Bend Way, North Bend, WA 98045","47.496625, -121.788504",https://www.thepourhousebar.com/,,Yes,No,No,No,No,No,No,No,,,,,,,,,,,
Il Paesano Ristorante Italiano,(425) 831-0099,"113 Bendigo Blvd N, North Bend, WA 98045","47.495773, -121.786891",https://www.facebook.com/IlPaesanoRistorante/,https://www.ilpaesanoristorante.com/,Yes,Yes,Yes,Yes,No,No,No,No,,4pm-9pm,Closed,4pm-9pm,4pm-9pm,4pm-9pm,4pm-9pm,4pm-9pm,,,
Subway,(425) 888-5550,"470 E North Bend Way, North Bend, WA 98045","47.492332, -121.780577",https://order.subway.com/en-us/restaurant/53220/menu/,,Yes,No,No,No,No,No,No,No,,,,,,,,,,,
The Daily Grind,(425) 444-6166,"43030 SE North Bend Way, North Bend, WA 98045","47.484255, -121.763657",https://m.facebook.com/mtsidailygrind/,,Yes,No,Yes,No,No,No,No,Yes,,,,,,,,,,,
Mt Si Pub,(425) 831-6155,"45530 SE North Bend Way, North Bend, WA 98045","47.471690, -121.733355",https://www.facebook.com/MtSiPub,,Yes,No,Yes,No,No,No,No,Yes,,,,,,,,,,,
Popeyes Louisiana Kitchen,(425) 888-1119,"46600 SE North Bend Way, North Bend, WA 98045","47.468238, -121.717017",https://www.popeyes.com/store-locator/store/restaurant_84714,,Yes,Yes,Yes,No,Yes,Yes,No,No,,9:30am-10pm,9:30am-10pm,9:30am-10pm,9:30am-10pm,9:30am-10pm,9:30am-10pm,9:30am-10pm,,,
Country Pride,(425) 888-3322,"46600 SE North Bend Way, North Bend, WA 98045","47.468305, -121.716782",https://www.ta-petro.com/amenities/restaurants/country-pride,,Yes,Yes,Yes,No,No,No,No,No,,6am-10pm,6am-10pm,6am-10pm,6am-10pm,6am-10pm,6am-10pm,6am-10pm,,,
Hammer Lane Burgers & BBQ,(425) 396-0990,"14420 468th Ave SE, North Bend, WA 98045","47.468789, -121.715776",https://www.hammerlanebbq.com/,https://www.hammerlanebbq.com/our-menu,Yes,Yes,Yes,No,No,No,No,No,,8am-8pm,8am-8pm,8am-8pm,8am-8pm,8am-8pm,8am-8pm,8am-8pm,,,
Trail Youth Coffee Home,,"226 E North Bend Way, North Bend, WA 98045","47.494183, -121.783755",https://www.trailyouth.com/,,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,,,,,,,,,
Baskin-Robbins,(425) 888-4422,"458 SW Mt Si Blvd, North Bend, WA 98045","47.488056, -121.791644",https://www.baskinrobbins.com/en/flavor-of-the-month,,Yes,Yes,Yes,Yes,No,No,No,No,,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,Yes,,
Blimpie,(425) 888-4422,"458 SW Mt Si Blvd, North Bend, WA 98045","47.488006, -121.791602",https://www.blimpie.com/stores/11227,https://order.blimpie.com/menu/blimpie-335/,Yes,Yes,Yes,Yes,No,No,No,No,,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,10:30am-9pm,Yes,,
Chowder Cafe,(206) 348-0384,"301 W North Bend Way Ste 104, North Bend, WA 98045","47.496024, -121.788473",http://chowdercafenb.com/,http://chowdercafenb.com/menu.htm,Yes,Yes,Yes,Yes,No,No,No,No,,12pm-4pm,12pm-4pm,12pm-4pm,12pm-4pm,12pm-4pm,12pm-4pm,12pm-4pm,Yes,Can take orders via text message,
Papa Murphy's Take 'N' Bake Pizza,(425) 888-8300,"456 SW Mt Si Blvd C4, North Bend, WA 98045","47.488453, -121.791617",https://order.papamurphys.com/menu/papa-murphys-sw-mt-si,,Yes,Yes,Yes,Yes,No,No,No,No,,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-8pm,11am-8:30pm,11am-8:30pm,,,
Twin Peaks Pub,(425) 292-0420,"129 W North Bend Way, North Bend, WA 98045","47.495188, -121.786677",,,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,,,,,,,,,
Starbucks,(425) 888-0808,"721 SW Mt Si Blvd B, North Bend, WA 98045","47.487370, -121.793460",https://www.starbucks.com/store-locator/store/16984/north-bend-mt-si-north-bend-721-sw-mt-si-blvd-north-bend-wa-980458990-us,,Yes,Yes,Yes,Yes,No,No,No,Yes,,4:30am-8:30pm,4:30am-8:30pm,4:30am-8:30pm,4:30am-8:30pm,4:30am-8:30pm,4:30am-9pm,4:30am-9pm,,,